college_team,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,11,12,13,14,14,15,16,16,16,16,17,17,18,18,18
Mississippi St.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,6,6,7,8,9,10,11,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,15,15,16,16,17,18,18,18,18,18,18,18,18,18,18,18,19,20,20,20,21,21,21
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,6,7,8,8,9,9,9,10,10,10,10,10,11,12,12,12,13,14,15,15,15,15,16,16,16,16,16,17,17,17,17,18,19,20,21,21,22,22,23,23,23,24,25,25,26,27,27,28,28,28,28
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,5,5,5,6,6,6,7,8,8,8,9,9,9,10,11,11,12,13,14,15,15,15,15,16,16,17,17,17,17,18,18,18,19,19,20,20,20,20,20,20,21,21,22,22,23,23
Temple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,9,9
Central Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7
Clemson,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,5,5,5,6,6,6,6,7,8,9,10,10,11,11,12,12,13,13,14,14,14,15,16,16,17,17,18,18,18,18,19,20,21,21,22,23,24,25,26,27,27,28,29,29
Vanderbilt,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,8,8,9,9,9,9,9,9,9,9,10,11,11,12,12,13,13,13,13,13
LSU,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,4,4,5,6,6,7,7,7,8,9,10,10,11,11,12,13,13,13,13,14,15,16,16,17,18,19,19,20,21,22,22,22,22,22,22,23,24,25,25,25,26,26,26,27,27,28,28,29,30,31,32,33,34,35,35,36,37,38,39
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,10,10,11,12,12,12,12,13,14,14,15,15
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,5,5,6,6,6,6,6,6,7,8,8,9,9,9,9,9,9,10,11,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,15
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Virginia,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,6,6,7,8,8,8,9,9,10,11,11,11,11,11,11,11,12,12,12,13,14,14,14,14,14,15,15,15
Michigan,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,5,6,7,8,9,9,10,11,11,12,12,13,13,14,15,16,16,17,18,18,19,19,20,20,21,21,22,22,22,23,24,24,24,24,25,26,27,27,28,28,29,30,30,30,30,30,30,30,31,31
Boston Col.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,6,6,6,6,6,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,12,13,14
Michigan St.,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,4,5,6,7,7,8,9,10,11,12,12,13,14,15,15,16,16,16,17,17,17,18,18,19,19,19,20,20,20,21,21,21,21,21,22,22,23,23,24,24,24,24,24,24,25,26,26,26,26,26,27,27,27,27,28,29,30,30,31,32,32,33,33
Auburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,4,5,6,6,7,7,7,7,8,8,8,9,10,10,10,10,10,10,11,11,11,11,12,12,12,13,14,14,15,16,16,16,16,17,17,17,18,18,18,18,18,18,19,19,20,21,22,23,23,23,23,23,23,24,25,26
Murray St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,4,4,4,5,6,6,7,7,7,8,9,9,9,9,10,10,11,12,12,12,12,12,12,12,13,13,13,14,15,16,16,17,17,18,18,18,18,18,19,20,20,20,21,22,23,24,25,26,26,26,27,28,28,29,30,30,31,32,33
Notre Dame,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,4,4,5,5,5,5,6,7,8,8,9,10,10,10,11,12,13,14,14,14,15,16,17,17,18,19,20,20,20,20,21,22,23,24,25,26,27,28,29,29,30,30,30,31,31,32,33,33,33,34,35,36,36,36,37,38,39,39,40,40,40
Ohio St.,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,5,5,5,6,7,8,8,8,8,8,8,8,8,8,8,8,9,10,11,12,12,13,14,14,15,15,16,17,17,17,18,18,18,19,20,20,20,21,21,22,22,23,23,24,24,25,26,27,28,29,30,31,32,32,32,33,34,35,36,36,37,38,39,40,41
Iowa,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,5,5,6,6,7,8,9,9,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,18,19,20,20,20,21,22,23,24,25,26,26,26,26,27,28
Miami (FL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,5,5,5,6,6,7,7,8,9,10,11,12,12,13,13,14,15,16,17,18,19,19,20,20,21,22,22,22,23,24,24,25,26,27,28,29,29,29,30,30,31,31,31,32,33,33
USC,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,5,5,5,5,5,5,5,5,5,6,6,6,7,7,8,9,9,10,10,11,12,13,14,15,16,16,17,18,19,19,19,20,21,21,22,23,23,24,24,25,25,25,25,26,27,28,28,29,30,31,31,32,32,33,34,35,36,36,37,37,38,39,40,40
Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,5,5,6,7,7,7,8,8,8,8,8,9,9,9,10,10,11,11,11,11,12,13,13,13,13,13,13,14,15,15,15,15,15,15,16,16,17,17,17,17,17,17,17,17,18,18,18,19,20,20
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,7,7,7,8,8,9,9,10,10,10,10,10,11,11,11,11,12,13,14,15,15,16,17,17,18,19,20,20,20,20,20,21,21,22,22,23,23,23,24,25,25,25,26,27,28,28,28,28
Alabama,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,7,8,8,8,8,9,9,9,10,11,11,11,11,12,12,13,14,14,14,14,15,15,15,16,17,18,19,20,21,22,23,24,25,25,26,26,27,27,27,28,29,29,30,31,31,32,33,34,35,36,37,38
Penn St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,7,7,8,9,10,11,11,12,12,12,13,13,14,14,14,15,15,15,16,17,17,18,19,19,20,20,21,21,21,21,21,21,21,22,23,23,24
Rutgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,6,6,6,7,7,7,7,7,7
Washburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Toledo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,10,10,10,10,11,11,11,12,12,12,12,12
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,4,5,6,6,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,11,11,12,12,13,14,15,16,16,17,17,18,19,20,20,20,20,20,20
Kansas St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,7,7,7,8,8,8,9,10,11,12,13,13,13,13,13,13,14,14,14,14,14,15,15,15,16
Texas A&M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,5,5,6,7,8,9,9,9,9,10,10,11,11,12,12,13,13,14,15,16,17,18,18,19,19,19,20,21,22,22,23,23,23,23,23,23,23,24,24,25,25,25,25,26,27,28
Texas,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,5,5,6,7,7,8,9,10,10,10,11,12,12,13,14,14,15,15,16,17,17,18,19,19,19,20,21,22,23,23,23,24,24,24,24,24,25,26,27,27,28,29,29,29,30,31,31,32,32,33,33,33,34
Tulane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,4,5,5,6,6,7,7,8,8,8,8,9,9,10,10,11,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,15
South Dakota St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
James Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Valdosta St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,5,5,6,6,7,8,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,18,18,18,19,19,20,21,21,21,21,21,22,22,23,23
Florida St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,4,5,5,6,7,8,8,8,9,9,9,9,10,10,10,11,12,13,13,14,14,15,16,16,17,18,19,20,21,22,22,23,24,25,25,25,25,26,26,27,28,29,30,31,32,33
Louisville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,8,8,9,9,10,10,10,10,11,11,11,12,13,13,14,15
Virginia Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,6,6,7,7,7,8,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,21,22,23,24,25,26
Central Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,5,5,5,5,5,5,6,6,6,7,8,8,9,9,10,11
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,6,7,8,9,9,10,11,11,11,11,11,12,13,13,13,13,13,13,14,14,14,15,15,15,15,16
Wake Forest,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,10,10,11,12,12,13,13,13,14,14,14,15
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,4,5,5,5,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,18,19,19,20,20,21,22,23,23,23,24,24,25,26,27,28,29,30,31,32,32,33,34,34,34,35,35,36,36,36,37,37,37,37,37,37,38,39
Stanford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,8,8,9,10,10,10,10,10,10,10,10,11,12,12,13,14,15,15,15,15,16,16,16,17,18,18,18,19
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,3,3,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,4,5,5,5,5,6,7,7,8,9,9,10,11,12,12,12,12,13,13,14,14,15,16,16,16,17,17,18,18,18,19,20,21,21,22,23,24,25,26,27,27,28,29,30,30,31,32,32,32,33,33,33,33,33,33,33,34,35
Southern Miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,4,4,5,6,6,6,6,7,7,7,8,8,9,9,10,11,11,12,13,13,14,14,14,14,15,15,15,16,17,17,18,18,18,18,18,18,18,18,18,18,18,18,19,19,20
Wisconsin,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,6,6,6,7,7,8,9,9,9,9,10,10,10,11,11,11,12,13,13,14,14,15,15,15,15,15,16,16,16,17,17,17,17,17,18,19,20,21,21,22,22,22,23,23,23,23,23,23,24,24,24,24,25
Pittsburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,5,5,5,5,6,6,6,7,8,9,10,10,11,12,12,13,13,14,15,16,17,18,18,18,18,19,19,19,19,20,20,21,22,23,23,24,25,26,26,26,27,27,27,27,27,27,27,28
West Virginia,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,5,5,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,10,11,11,12,12,12,12,12,12,13,14,14,15,16,16,17,18,18,18,18,19,20,21
Weber St.,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8
Oklahoma St.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,8,9,9,10,10,10,10,10,11,11,11,11,11,11,12,12,13,13,13,13,13,14,14,14,14,14,15,15,16,16,17,18,18,18,19
Illinois St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,4,4,5,5,6,7,7,7,7,8,9,9,10,11,11,12,12,13,13,13,14,14,15,15,16,16,17,17,18,18,18,18,18,18,18,18,19,20,20,20,20,21,21,22,22,23,23,24
Jacksonville St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
